"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"91780","13-02-26 21:00","Spain","LaLiga","2025/2026","Elche","Osasuna","0","0","D","0","0","D","0","0","D"
"91698","09-02-26 21:00","Spain","LaLiga","2025/2026","Villarreal","Espanyol","4","1","H","2","0","H","2","1","H"
"90996","08-02-26 21:00","Spain","LaLiga","2025/2026","Valencia","Real Madrid","0","2","A","0","0","D","0","2","A"
"90988","08-02-26 18:30","Spain","LaLiga","2025/2026","Atl. Madrid","Betis","0","1","A","0","1","A","0","0","D"
"90973","08-02-26 16:15","Spain","LaLiga","2025/2026","Ath Bilbao","Levante","4","2","H","2","0","H","2","2","D"
"90974","08-02-26 16:15","Spain","LaLiga","2025/2026","Sevilla","Girona","1","1","D","0","1","A","1","0","H"
"90960","08-02-26 14:00","Spain","LaLiga","2025/2026","Alaves","Getafe","0","2","A","0","0","D","0","2","A"
"90941","07-02-26 21:00","Spain","LaLiga","2025/2026","Real Sociedad","Elche","3","1","H","2","1","H","1","0","H"
"90915","07-02-26 16:15","Spain","LaLiga","2025/2026","Barcelona","Mallorca","3","0","H","1","0","H","2","0","H"
"90849","06-02-26 21:00","Spain","LaLiga","2025/2026","Celta Vigo","Osasuna","1","2","A","0","1","A","1","1","D"
"90178","02-02-26 21:00","Spain","LaLiga","2025/2026","Mallorca","Sevilla","4","1","H","1","1","D","3","0","H"
"89617","01-02-26 21:00","Spain","LaLiga","2025/2026","Ath Bilbao","Real Sociedad","1","1","D","0","1","A","1","0","H"
"89607","01-02-26 18:30","Spain","LaLiga","2025/2026","Getafe","Celta Vigo","0","0","D","0","0","D","0","0","D"
"89594","01-02-26 16:15","Spain","LaLiga","2025/2026","Betis","Valencia","2","1","H","1","1","D","1","0","H"
"89578","01-02-26 14:00","Spain","LaLiga","2025/2026","Real Madrid","Rayo Vallecano","2","1","H","1","0","H","1","1","D"
"88949","31-01-26 21:00","Spain","LaLiga","2025/2026","Elche","Barcelona","1","3","A","1","2","A","0","1","A"
"88936","31-01-26 18:30","Spain","LaLiga","2025/2026","Levante","Atl. Madrid","0","0","D","0","0","D","0","0","D"
"88922","31-01-26 16:15","Spain","LaLiga","2025/2026","Osasuna","Villarreal","2","2","D","2","1","H","0","1","A"
"88873","31-01-26 14:00","Spain","LaLiga","2025/2026","Oviedo","Girona","1","0","H","0","0","D","1","0","H"
"88854","30-01-26 21:00","Spain","LaLiga","2025/2026","Espanyol","Alaves","1","2","A","1","1","D","0","1","A"
"86848","26-01-26 21:00","Spain","LaLiga","2025/2026","Girona","Getafe","1","1","D","0","0","D","1","1","D"
"85222","25-01-26 21:00","Spain","LaLiga","2025/2026","Alaves","Betis","2","1","H","1","0","H","1","1","D"
"85216","25-01-26 18:30","Spain","LaLiga","2025/2026","Real Sociedad","Celta Vigo","3","1","H","1","0","H","2","1","H"
"85203","25-01-26 16:15","Spain","LaLiga","2025/2026","Barcelona","Oviedo","3","0","H","0","0","D","3","0","H"
"85188","25-01-26 14:00","Spain","LaLiga","2025/2026","Atl. Madrid","Mallorca","3","0","H","1","0","H","2","0","H"
"84322","24-01-26 21:00","Spain","LaLiga","2025/2026","Villarreal","Real Madrid","0","2","A","0","0","D","0","2","A"
"84310","24-01-26 18:30","Spain","LaLiga","2025/2026","Sevilla","Ath Bilbao","2","1","H","1","1","D","1","0","H"
"84300","24-01-26 16:15","Spain","LaLiga","2025/2026","Valencia","Espanyol","3","2","H","1","0","H","2","2","D"
"84255","24-01-26 14:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Osasuna","1","3","A","0","1","A","1","2","A"
"83928","23-01-26 21:00","Spain","LaLiga","2025/2026","Levante","Elche","3","2","H","0","1","A","3","1","H"
"81005","19-01-26 21:00","Spain","LaLiga","2025/2026","Elche","Sevilla","2","2","D","1","0","H","1","2","A"
"79706","18-01-26 21:00","Spain","LaLiga","2025/2026","Real Sociedad","Barcelona","2","1","H","1","0","H","1","1","D"
"79700","18-01-26 18:30","Spain","LaLiga","2025/2026","Celta Vigo","Rayo Vallecano","3","0","H","1","0","H","2","0","H"
"79689","18-01-26 16:15","Spain","LaLiga","2025/2026","Atl. Madrid","Alaves","1","0","H","0","0","D","1","0","H"
"79678","18-01-26 14:00","Spain","LaLiga","2025/2026","Getafe","Valencia","0","1","A","0","0","D","0","1","A"
"79666","17-01-26 21:00","Spain","LaLiga","2025/2026","Betis","Villarreal","2","0","H","0","0","D","2","0","H"
"79653","17-01-26 18:30","Spain","LaLiga","2025/2026","Osasuna","Oviedo","3","2","H","1","1","D","2","1","H"
"79642","17-01-26 16:15","Spain","LaLiga","2025/2026","Mallorca","Ath Bilbao","3","2","H","2","2","D","1","0","H"
"79596","17-01-26 14:00","Spain","LaLiga","2025/2026","Real Madrid","Levante","2","0","H","0","0","D","2","0","H"
"79577","16-01-26 21:00","Spain","LaLiga","2025/2026","Espanyol","Girona","0","2","A","0","1","A","0","1","A"
"79548","12-01-26 21:00","Spain","LaLiga","2025/2026","Sevilla","Celta Vigo","0","1","A","0","0","D","0","1","A"
