"id","matchDate","Country","League","Season","homeTeam","awayTeam","HBPFT","ABPFT","HBP1H","ABP1H","HBP2H","ABP2H","HTSFT","ATSFT","HTS1H","ATS1H","HTS2H","ATS2H","HSONFT","ASONFT","HSON1H","ASON1H","HSON2H","ASON2H","HSOFFFT","ASOFFFT","HSOFF1H","ASOFF1H","HSOFF2H","ASOFF2H"
"74507","09-11-25 18:30","Spain","LaLiga","2025/2026","Valencia","Betis","43","57","44","56","43","57","17","9","8","3","9","6","4","2","3","0","1","2","6","5","3","2","3","3"
"74508","09-11-25 16:15","Spain","LaLiga","2025/2026","Rayo Vallecano","Real Madrid","46","54","46","54","45","55","13","21","4","5","9","16","2","5","1","2","1","3","8","10","2","3","6","7"
"74509","09-11-25 14:00","Spain","LaLiga","2025/2026","Ath Bilbao","Oviedo","48","52","48","52","48","52","21","5","8","3","13","2","7","2","3","2","4","0","12","2","3","0","9","2"
"74442","08-11-25 21:00","Spain","LaLiga","2025/2026","Espanyol","Villarreal","55","45","49","51","62","38","14","9","6","2","8","7","3","3","0","1","3","2","4","3","2","0","2","3"
"74443","08-11-25 18:30","Spain","LaLiga","2025/2026","Atl. Madrid","Levante","74","26","77","23","72","28","25","6","9","2","16","4","10","3","3","1","7","2","9","2","3","1","6","1"
"74444","08-11-25 16:15","Spain","LaLiga","2025/2026","Sevilla","Osasuna","47","53","60","40","33","67","10","9","5","3","5","6","4","3","0","0","4","3","2","1","1","0","1","1"
"74445","08-11-25 14:00","Spain","LaLiga","2025/2026","Girona","Alaves","52","48","62","38","39","61","10","14","7","6","3","8","2","5","2","4","0","1","4","7","3","1","1","6"
"74357","07-11-25 21:00","Spain","LaLiga","2025/2026","Elche","Real Sociedad","63","37","67","33","58","42","12","13","9","6","3","7","3","5","2","2","1","3","8","4","6","2","2","2"
"74295","03-11-25 21:00","Spain","LaLiga","2025/2026","Oviedo","Osasuna","53","47","51","49","54","46","8","11","4","8","4","3","2","5","1","4","1","1","4","5","3","3","1","2"
"74268","02-11-25 21:00","Spain","LaLiga","2025/2026","Betis","Mallorca","52","48","55","45","49","51","15","14","6","6","9","8","8","1","4","0","4","1","4","10","1","5","3","5"
"74269","02-11-25 18:30","Spain","LaLiga","2025/2026","Barcelona","Elche","49","51","55","45","44","56","17","9","11","1","6","8","5","3","4","1","1","2","6","4","4","0","2","4"
"74270","02-11-25 16:15","Spain","LaLiga","2025/2026","Alaves","Espanyol","54","46","67","33","38","62","13","18","7","9","6","9","4","2","4","1","0","1","6","6","1","2","5","4"
"74271","02-11-25 14:00","Spain","LaLiga","2025/2026","Levante","Celta Vigo","36","64","38","62","33","67","9","20","4","10","5","10","3","6","1","4","2","2","5","9","3","3","2","6"
"74216","01-11-25 21:00","Spain","LaLiga","2025/2026","Real Madrid","Valencia","65","35","62","38","67","33","21","4","13","1","8","3","11","1","9","0","2","1","4","2","1","0","3","2"
"74217","01-11-25 18:30","Spain","LaLiga","2025/2026","Real Sociedad","Ath Bilbao","51","49","55","45","46","54","9","11","6","3","3","8","5","4","3","1","2","3","3","5","2","2","1","3"
"74218","01-11-25 16:15","Spain","LaLiga","2025/2026","Atl. Madrid","Sevilla","47","53","49","51","46","54","15","10","7","4","8","6","6","2","2","0","4","2","6","7","3","3","3","4"
"74219","01-11-25 14:00","Spain","LaLiga","2025/2026","Villarreal","Rayo Vallecano","47","53","42","58","52","48","16","13","7","7","9","6","7","3","3","2","4","1","6","7","1","2","5","5"
